Komenda Cisco Catalyst IOS przeprowadzająca konsolę z trybu nieuprzywilejowanego do trybu exec	enable (skrót: en)
Numery przewodów, które należy zamienić miejscami aby otrzymać kabel z przeplotem	1,2 <-> 3,6
Protokół drugiej warstwy pracujący w przełącznikach Ethernet i zabezpieczający sieć przed powstaniem pętli	stp		
Nazwa numeru portu przełącznika Ethernet, który zgodnie z nomenkulaturą protokołu STP prowadzi do Root Bridge	Root Port
Adres sieci, w której znajduje się host 120.121.1.1 przy masce 255.254.0.0	120.120.0.0
Komenda CCIOS przeprowadzająca konsolę z trybu exec do trybu umożliwiającego konfigurację ustawień	configure terminal (conf t)	Liczba maksymalna hostów możliwa do zdefiniowania w sieci 200.200.200.0 przy mascie 255.255.255.192	62   <=2^(4*8-26)-2
Nazwy kategorii linii komunikacyjnych (line) definiowanych w systemie CCIOS	vty/console	
Angielski odpowiednik słowa: przepustowość dla łącza sieciowego	throughput
Koncentrator Ethernet nie dokonujący analizy adresów MAC (zawsze rozgłaszający)	hub	
Nazwa pola/liczby identyfikującej format danych przenoszonych w ramce Ethernet II	Ethertype/długość
Liczba bitów o wartości 0 w masce adresu IPv4 w notacji CIDR: 200.200.200.1 i masce 255.255.255.0	8
MTU dla danych ramki Ethernet	1500 bajtów
Nazwa protokołu konfigurującego adresy IP hostów w sieci	DHCP
Liczba bitów w adresie Ethernet MAC	48
Tryb transmisji w medium dopuszczający obydwa kierunki przepływu danych jednocześnie	duplex		
Liczba bitów w adresie Ethernet IP	32
Nazwa piątej warstwy modelu ISO OSI	sesji
Adres IP Broadcast dla sieci IPv4: 10.0.0.0 przy masce 255.128.0.0	10.127.255.255
Angielski odpowiednik terminu: Szerokość pasma	bandwidth
Przykład systemu kodowania serii bitów zapewniającego samo-synchronizację transmisji	Kodowanie Manchester, kodowanie Manchester-różnicowy	
Tryb transmisji umożliwiający ruch tylko w jednym kierunku	simplex
Minimalna długość ramki Ethernet IEEE 802.3 (w bajtach)	64 bajty + 8 preambuły i SFD		
Dwie techniki transmisji strumienia bitów rozróżniane z uwagi na obecność (lub nie) przekazu informacji zegarującej	
Komunikacja synchroniczna i asynchronicznaRozwinięcie akronimu MTU jako cechy określającej możliwości techniczne technologii transmisji sieciowej	Maximum Transmission Unit
Nazwa drugiej warstwy ISO OSI	łącza danych
Adres segmentu sieci IPv4, do której należy host o adresie IPv4: 10.10.10.10 przy masce 255.255.192.0	10.10.0.0
Maksymalna długość kabla TP Cat5 (skrętki) pomiędzy przełącznikami w technologii Ethernet	100 metrów
Nazwa pola/liczby identyfikującej format danych przenoszonych w ramce Ethernet II	Ethertype
Długość adresu MAC dla Ethernet (w bajtach)	6
Adres IP broadcast dla sieci IPv4: 10.10.0.0 przy masce 255.255.0.0	10.10.255.255Rodzaje portów zapasowych w stanie discarding określane przez protokół RSTP w przełącznikach Ethernet (IEEE 802.1w)	Alternate port;  backup port;
Jednostka, w której określona jest szerokość pasma dla danego medium transmisyjnego	bps (bits per second)
Liczba możliwych stanów portu Ethernet w przełączniku (bez uwzględniania definiowanych przez STP i jego warianty)	5 - Listening, Learning, Forwarding, Blocking, Discarding //A nie 4, bo discarding to chyba RSTP definiuje?																						
1. Funkcja protokołu VTP usuwająca VLAN Trunks, gdy dany VLAN w zadanym przełączniku nie ma żadnych portów	Pruning																						
2. Wartość identyfikatora(VID) domyślnej sieci VLAN w przełącznikach Cisco( przy ustawieniach fabrycznych)	1 ??? Tak, slajd 21 z drugiej prezentacji																						
3. Minimalna długość ramki Ethernet IEEE 802.3(w bajtach)	64(?)																						
5. Klasa adresu IPv4:200.200.200.1	Klasa C																						
6. Komenda Cisco Catalyst iOS przeprowadzająca przełącznik do trybu konfiguracji vlan numer 3	interface vlan 3																						
7. Technologia Ethernet umożliwiająca tunelowanie wielu VLAN TRUNK w jednym łączu	802.1 Q-in-Q																						
8. Rodzaj światłowodu umożliwiającego przesyłanie  jednocześnie tylko jednej wiązki światła danej częstotliwości	jednomodowy																						
9. Adres IP broadcast dla sieci IPv4: 10.10.0.0/16        	10.10.255.255																						 
10. Maksymalna długość ramki IEEE 802.1Q	1522B 																						
11. Komenda Cisco Catalyst definiująca tryb pracy przełącznika jako trunk IEEE 802.1Q	Switch(config-if)#switchport mode trunk																						
12. Rodzaje portów zapasowych  stanie discarding  określane przez protokół RSTP w przełącznikach Ethernet (IEEE 802.1w)	Alternate Port, Backup Port																						
3. Tryb transmisji, umożliwiający ruch tylko w jednym kierunku	Simplex																						
4. Minimalna długość ramki Ethernet IEEE 802.3 (w bajtach)	64  + 8 preambuły i SFD																						
5. Protokół umożliwiający konwersję adresu IP zdalnej stacji na jej adres MAC w Ethernet	ARP																						
7. Komenda Cisco Catalyst IOS przeprowadzająca przełącznik do trybu konfiguracji vlan numer 3	interface vlan 3 //raczej samo vlan3,int vlan3 tworzy interfejs																						
8. Nazwa drugiej warstwy ISO OSI	łącza danych																						
10. Maksymalna długość kabla TP Cat 5 (skrętki) pomiędzy przełącznikami w technologii Ethernet	100m																						
11. Nazwa pola/liczby identyfikującej format danych przenoszonych w ramce Ethernet II	ethertype																						
12. Długość adresu MAC dla Ethernet (w bajtach)	6																						
13. Adres IP Broadcast dla sieci IPv4 10.10.0.0/16	10.10.255.255.																						
15. Technologia Ethernet umożliwiająca tunelowanie wielu VLAN TRUNK w jednym złączu fizycznym	Q-in-Q																						
16. Komenta CCIOS definiująca tryb pracy przełącznika jako trunk IEEE 802.1Q	switchport mode trunk																						
18. Liczba możliwych stanów portu Ethernet w przełączniku (bez uwzględniania definiowanych przez STP i jego warianty)	5 - Listening, Learning, Forwarding, Blocking, Discarding //A nie 4, bo discarding to chyba RSTP definiuje?																						
1. Maksymalna długość pakietu Ethernet	1518 - ej ej, a nie 1522??																						
2. Tryb transmisji w medium dopuszczającym obydwa kierunki przepływu danych	Duplex																						
3. MTU dla danych ramki Ethernet	1500																						
